Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
RHEBL1	4	-0.083556	-1.1083	0.94949	0.9951	0.26772	0.5252
CUX1	4	0.010405	0.069912	0.7263	0.96541	0.94426	0.96906
KCNB2	4	0.18349	1.3995	0.16765	0.61376	0.16166	0.4735
PYGO1	4	0.17723	1.6059	0.18207	0.63264	0.10829	0.4735
STX12	4	-0.10037	-0.65004	0.89882	0.98919	0.51567	0.71925
GLI1	4	-0.088095	-1.791	0.93571	0.99343	0.073296	0.4735
LARGE	4	0.041193	0.81374	0.61294	0.93908	0.4158	0.64965
SLC45A2	4	0.061973	0.84435	0.53856	0.91349	0.39847	0.63461
LGI1	4	0.099737	0.81715	0.407	0.84739	0.41384	0.64836
CLUH	4	-0.46353	-2.2819	0.25834	0.73142	0.022493	0.23248
HTRA4	4	0.060122	1.1882	0.54353	0.91349	0.23474	0.50388
RNF113B	4	0.21374	1.254	0.11356	0.51453	0.20984	0.48876
ORC1	4	-1.5785	-3.1784	0.0022374	0.042573	0.0014811	0.034028
ZNF430	4	0.095885	0.64627	0.41913	0.85137	0.51811	0.72028
KCNMB2	4	0.18241	1.2453	0.16999	0.6157	0.21303	0.49112
LHPP	4	-0.068051	-0.61909	1	1	0.53585	0.72334
BIRC7	4	-0.048962	-1.5369	0.93894	0.99343	0.12432	0.4735
OR52N5	4	0.39771	1.446	0.0041267	0.066828	0.14817	0.4735
ZNF280A	4	0.17925	1.376	0.1769	0.62399	0.16884	0.47366
MUL1	4	-0.071348	-1.8294	0.98926	0.9988	0.067343	0.45559
DACH1	4	-0.25984	-1.9036	0.54378	0.91349	0.056965	0.41633
LRRC4C	4	0.13733	0.98817	0.28643	0.75738	0.32307	0.57024
SLIRP	4	-0.56292	-1.7438	0.17188	0.6171	0.081202	0.4735
HSD17B14	4	-0.035236	-0.44784	0.893	0.98919	0.65427	0.78596
UBIAD1	4	0.082443	0.68252	0.46408	0.87742	0.49491	0.70858
LGALS4	4	0.16137	1.4955	0.22229	0.68802	0.13478	0.4735
BAIAP2L1	4	0.037279	0.19355	0.62785	0.94387	0.84653	0.91357
PAX4	4	0.061992	0.50525	0.53851	0.91349	0.61338	0.75836
TPRA1	4	-0.032795	-0.49292	0.88445	0.98919	0.62207	0.76472
PRPH2	4	0.14316	1.5556	0.27097	0.74648	0.11981	0.4735
ZNF177	4	0.0068806	0.11361	0.73932	0.96825	0.90955	0.94978
DAAM2	4	-0.067653	-1.2216	0.99861	0.99975	0.22187	0.49654
FIGNL1	4	-0.30595	-1.7899	0.46726	0.87889	0.073478	0.4735
AGAP3	4	0.0014648	0.056314	0.75856	0.97049	0.95509	0.97418
ADGRF2	4	0.17983	1.1395	0.17531	0.6222	0.25451	0.51756
ZCCHC10	4	0.060761	0.71397	0.54204	0.91349	0.47525	0.69635
BHLHE23	4	0.1776	1.1125	0.18128	0.63112	0.26594	0.52423
GOLGA6D	4	-0.83539	-2.1487	0.054442	0.35448	0.031657	0.29519
INAFM1	4	-0.063516	-0.4718	0.98578	0.9988	0.63707	0.77538
PRPH	4	0.2911	1.4493	0.033312	0.27181	0.14726	0.4735
ADAMTSL2	4	0.20035	1.2992	0.13519	0.55866	0.19388	0.47972
KRT38	4	0.30314	1.4046	0.026103	0.23292	0.16014	0.4735
METTL23	4	-0.0047374	-0.057146	0.78049	0.97292	0.95443	0.97394
PFDN1	4	-0.3047	-1.2168	0.46925	0.87943	0.22367	0.49692
PRAMEF14	4	0.071927	0.57255	0.50216	0.89483	0.56695	0.73138
RASL12	4	-0.097845	-0.87705	0.90658	0.98979	0.38046	0.62089
Non-Targeting_Control-N202	1	0.34994	0.59362	0.20489	0.66291	0.55276	0.7269
EVL	4	0.013127	0.68511	0.71561	0.96261	0.49328	0.70748
GBF1	4	-1.6317	-3.1528	0.0017899	0.037422	0.0016173	0.035864
RP9	4	0.076904	0.76134	0.48471	0.88692	0.44645	0.67581
SH3BP5L	4	-0.18359	-1.3584	0.6908	0.95847	0.17434	0.4748
CHAMP1	4	-0.73952	-2.3653	0.078904	0.43325	0.018018	0.19988
STK38L	4	0.1068	1.0569	0.38328	0.8317	0.29055	0.54209
AVPR2	4	-0.0035759	-0.17155	0.77592	0.97253	0.86379	0.92294
HYDIN	4	0.018399	0.22811	0.69671	0.96088	0.81956	0.89664
TSPAN10	4	-0.10831	-1.6902	0.87685	0.98918	0.090986	0.4735
ZNF365	4	-0.013034	-0.068709	0.81117	0.97921	0.94522	0.96961
METTL12	4	-0.28087	-1.2437	0.50758	0.89702	0.21362	0.49125
C2orf54	4	0.14176	1.5738	0.27435	0.74753	0.11552	0.4735
ARHGEF25	4	-0.029114	-1.0541	0.87113	0.98827	0.29186	0.54308
C9orf117	4	0.086171	0.76679	0.45135	0.87021	0.44321	0.67333
LCA5	4	0.23104	1.3113	0.088102	0.45647	0.18975	0.47825
SPX	4	0.14407	1.621	0.26913	0.74569	0.10501	0.4735
POMC	4	0.060887	0.86694	0.54174	0.91349	0.38598	0.62545
LY9	4	0.023621	0.14961	0.67598	0.95507	0.88107	0.93357
GSE1	4	-0.0074507	-0.17573	0.79098	0.97482	0.8605	0.92153
DEPDC1	4	0.11754	1.4849	0.34863	0.81029	0.13756	0.4735
LDAH	4	0.28593	1.322	0.03709	0.28982	0.18616	0.47697
ZNF263	4	-0.21563	-1.4438	0.62422	0.94299	0.14881	0.4735
RTKN2	4	-0.025129	-0.16894	0.85601	0.98557	0.86584	0.92434
SIAH3	4	-0.0022247	-0.018565	0.77159	0.97125	0.98519	0.99199
PDE12	4	-2.2558	-3.5628	9.9438e-05	0.005	0.00036691	0.013273
AGAP1	4	0.082192	1.1285	0.46502	0.87789	0.2591	0.52029
FAM104B	4	0.23637	1.6588	0.081838	0.44164	0.097155	0.4735
TMEM11	4	-0.35004	-2.0989	0.3991	0.84184	0.035825	0.31687
IRS1	4	-0.047405	-0.23448	0.93397	0.99343	0.81461	0.89341
Non-Targeting_Control-N234	1	0.24458	0.62737	0.39641	0.84095	0.53042	0.72276
Non-Targeting_Control-N214	1	0.36392	0.58924	0.18535	0.63674	0.5557	0.72762
ACSBG2	4	0.0059294	0.12832	0.7427	0.96825	0.8979	0.9433
MIEN1	4	0.079075	1.0547	0.47686	0.88356	0.29157	0.54289
MAPK10	4	0.11495	1.2926	0.35713	0.81641	0.19616	0.48049
HSD17B1	4	0.00043191	0.0045647	0.76199	0.97114	0.99636	0.99778
ZNF551	4	0.25476	1.4395	0.061254	0.38103	0.15002	0.4735
SPEG	4	0.025621	0.39181	0.66982	0.95437	0.6952	0.8154
TAS2R13	4	0.04762	0.46615	0.58967	0.93245	0.6411	0.77781
MUC16	4	-0.085728	-1.1207	0.94223	0.99412	0.26241	0.52142
ENDOV	4	0.0080384	0.37607	0.7348	0.96825	0.70687	0.82322
KMT2B	4	-0.048077	-0.65752	0.93616	0.99343	0.51085	0.71713
ACSL5	4	0.015578	0.088117	0.70621	0.96154	0.92978	0.96168
OR5D16	4	0.020573	0.27352	0.68757	0.95746	0.78445	0.87377
DCHS2	4	0.23638	1.41	0.081838	0.44164	0.15853	0.4735
ZNF302	4	0.17651	1.372	0.18381	0.63511	0.17006	0.47366
ZNF366	4	0.15696	0.91278	0.23443	0.70436	0.36136	0.6049
CDK14	4	0.21226	1.5638	0.11619	0.51907	0.11787	0.4735
CCNI2	4	0.0062615	0.21493	0.74181	0.96825	0.82982	0.90315
ARHGAP6	4	0.12577	1.038	0.31979	0.78463	0.29927	0.54985
CHFR	4	0.11797	1.0056	0.34724	0.80936	0.31463	0.56273
GFRA1	4	0.2035	1.3484	0.12977	0.54648	0.17754	0.4762
LOC100130880	4	0.31779	1.5118	0.019937	0.19475	0.13059	0.4735
METTL21B	4	-0.15436	-1.0089	0.75503	0.97048	0.31304	0.56121
MAPKAP1	4	-0.64058	-2.0635	0.12131	0.53032	0.039068	0.33494
C12orf66	4	0.32028	1.5505	0.019192	0.19034	0.12103	0.4735
CD68	4	0.085287	0.81958	0.45488	0.87234	0.41246	0.64719
SPOCK2	4	0.0089556	0.076009	0.73167	0.96739	0.93941	0.96625
FAM193A	4	0.019771	0.20965	0.69174	0.95899	0.83394	0.90543
WFDC10A	4	0.014183	0.14672	0.71143	0.96154	0.88336	0.9351
CST9L	4	-0.067544	-0.39833	0.99811	0.99975	0.69038	0.81212
PIGX	4	0.019593	0.20647	0.69234	0.95909	0.83642	0.90724
OR14C36	4	-0.056175	-0.61892	0.96226	0.99518	0.53597	0.72335
CNN3	4	0.24645	1.3027	0.070452	0.40941	0.19267	0.47873
AGPAT4	4	0.015191	0.235	0.70765	0.96154	0.81421	0.89307
ZNF221	4	0.14936	1.4456	0.25247	0.72344	0.1483	0.4735
KCTD18	4	0.1919	1.2756	0.15115	0.58913	0.2021	0.48361
SPINT3	4	-0.0093397	-0.14069	0.79784	0.97685	0.88811	0.93812
ERICH6	4	0.10063	1.4502	0.40432	0.8457	0.147	0.4735
ZNF467	4	-0.15912	-2.0115	0.7441	0.96843	0.044269	0.3615
SWT1	4	-0.23379	-1.6285	0.59046	0.93247	0.10343	0.4735
SNX18	4	-0.01196	-0.073681	0.80659	0.97744	0.94126	0.96743
BCL2L15	4	0.21232	1.463	0.11609	0.51907	0.14348	0.4735
LZIC	4	-0.11513	-0.94465	0.85736	0.98557	0.34484	0.5893
UBR3	4	0.0017441	0.012866	0.75747	0.97048	0.98973	0.99403
MON1B	4	0.01103	0.066063	0.72381	0.96541	0.94733	0.97058
SSR1	4	-0.11107	-1.0613	0.86899	0.98785	0.28855	0.54083
MBD3L2	4	-0.62678	-1.5722	0.12907	0.54481	0.1159	0.4735
AGT	4	0.014406	0.12074	0.71054	0.96154	0.90389	0.94707
GRIK2	4	0.013981	0.62973	0.71218	0.96154	0.52887	0.72276
MAML3	4	0.10955	0.7939	0.37448	0.82753	0.42725	0.66072
CLDN11	4	0.15855	1.4381	0.2301	0.69861	0.15041	0.4735
ZNF708	4	0.20734	1.4519	0.12405	0.53552	0.14653	0.4735
MFSD6	4	0.17787	1.3745	0.18048	0.62966	0.16928	0.47366
NTNG1	4	0.082711	0.48766	0.46313	0.87704	0.62579	0.76756
CLRN3	4	0.20685	1.5851	0.12499	0.53751	0.11294	0.4735
POU5F1	4	-0.046932	-0.28473	0.93243	0.99343	0.77585	0.86862
NOSTRIN	4	0.11298	1.1568	0.36325	0.82086	0.24734	0.51146
ZNF560	4	0.15714	1.2661	0.23388	0.70345	0.20546	0.48689
PDE5A	4	0.052368	0.40173	0.57242	0.927	0.68788	0.81015
PSCA	4	-0.088664	-0.85673	0.93387	0.99343	0.39159	0.62924
PCDHGC4	4	-0.12196	-1.0787	0.83787	0.9813	0.28072	0.53504
C7orf69	4	0.0049224	0.037058	0.74658	0.96843	0.97044	0.98369
PGPEP1L	4	-0.015284	-0.2253	0.81957	0.98003	0.82174	0.89805
SBF2	4	0.18041	1.4029	0.17407	0.62063	0.16064	0.4735
BTRC	4	-0.03817	-0.3274	0.9026	0.98927	0.74337	0.84765
MORN4	4	-0.027114	-0.30031	0.86347	0.98711	0.76394	0.86086
RBP2	4	-0.039347	-0.41676	0.90643	0.98969	0.67686	0.80184
CALCB	4	-0.14922	-0.79992	0.76717	0.97114	0.42376	0.65737
SAFB	4	-0.85706	-2.5026	0.049719	0.33568	0.012327	0.15593
MINOS1-NBL1	4	-0.10198	-1.3393	0.89484	0.98919	0.18046	0.4762
SLCO2B1	4	0.22315	0.99376	0.10008	0.48932	0.32034	0.56736
UNC79	4	-0.0052014	-0.053895	0.78268	0.97379	0.95702	0.97545
NAALAD2	4	0.068924	1.1446	0.5126	0.89926	0.25238	0.51518
C11orf80	4	-0.14402	-1.3613	0.77994	0.97279	0.17342	0.47428
HAPLN3	4	-0.0097351	-0.060543	0.79928	0.97685	0.95172	0.97256
VPS26A	4	-0.35326	-1.7457	0.39571	0.84035	0.08086	0.4735
PDE6C	4	0.3089	1.3587	0.023766	0.21947	0.17425	0.4748
UBL3	4	-0.086669	-1.1364	0.93944	0.99343	0.2558	0.51852
YPEL4	4	-0.25001	-1.63	0.56133	0.92241	0.1031	0.4735
IFT122	4	-0.067587	-0.4152	0.99826	0.99975	0.678	0.80272
NPS	4	0.046386	0.29745	0.59414	0.93431	0.76612	0.86229
OR6C4	4	0.3122	1.3743	0.022224	0.20956	0.16935	0.47366
Non-Targeting_Control-N888	1	0.23351	0.631	0.41938	0.8515	0.52804	0.72276
DLG4	4	-0.095383	-1.0873	0.91364	0.99128	0.27691	0.5325
MSH2	4	-0.051268	-0.28517	0.94596	0.99451	0.77552	0.86834
OR6S1	4	-0.13367	-1.8261	0.80719	0.97744	0.067839	0.4574
TMSB15A	4	0.18301	1.6451	0.1685	0.61395	0.099943	0.4735
ANG	4	-0.028028	-0.71865	0.867	0.98767	0.47236	0.69423
SLITRK4	4	0.18497	1.2471	0.16502	0.60924	0.21234	0.49057
SLC25A35	4	-0.0022559	-0.010139	0.77164	0.97125	0.99191	0.99519
PVRL4	4	0.074329	1.328	0.49396	0.89149	0.18417	0.47677
RNASE10	4	0.070446	1.1842	0.50768	0.89705	0.23635	0.50423
CRLF2	4	0.18213	0.82577	0.17049	0.61594	0.40893	0.64388
FBXL16	4	-0.13623	-1.6193	0.80003	0.97685	0.10539	0.4735
Non-Targeting_Control-N889	1	-0.052607	-0.72949	0.85905	0.98557	0.4657	0.69
SMIM23	4	0.15212	1.5729	0.24596	0.71793	0.11573	0.4735
GRID1	4	0.13556	1.6772	0.29205	0.76281	0.093494	0.4735
MRPS10	4	-1.3565	-2.7319	0.0068612	0.094715	0.006297	0.095586
FBXO32	4	0.11905	1.5145	0.34331	0.80805	0.1299	0.4735
CDH2	4	-0.017999	-0.22051	0.82996	0.9813	0.82547	0.90027
ATRIP	4	-1.1122	-2.3397	0.01949	0.19272	0.019297	0.20845
SPDYE5	4	-1.1479	-2.0624	0.016507	0.17292	0.039173	0.33532
TUBB3	4	-0.27232	-1.7918	0.5213	0.90257	0.073162	0.4735
ITLN2	4	0.30705	1.5175	0.024362	0.22232	0.12915	0.4735
MPEG1	4	0.12343	1.2777	0.32825	0.79303	0.20136	0.48322
ARSH	4	0.24637	1.5724	0.070452	0.40941	0.11586	0.4735
TRIM21	4	0.04169	1.2792	0.61125	0.93869	0.20082	0.48263
PRKCB	4	0.1299	0.80841	0.30796	0.77512	0.41885	0.65299
EIF4G3	4	0.11329	1.5768	0.3621	0.82031	0.11485	0.4735
BCL6	4	-0.26364	-1.9337	0.53726	0.91298	0.053149	0.40233
CERK	4	0.13992	0.90284	0.27902	0.7505	0.36661	0.60924
CD207	4	-0.12305	-1.3563	0.83518	0.9813	0.17501	0.47509
THBS2	4	0.20774	1.5043	0.12355	0.53464	0.1325	0.4735
PITX2	4	0.0067499	0.16237	0.73977	0.96825	0.87102	0.92764
Non-Targeting_Control-N901	1	0.09568	0.67724	0.76637	0.97114	0.49825	0.71023
CAPS	4	-0.41536	-1.8873	0.31368	0.77918	0.059113	0.42676
ITGBL1	4	-0.025923	-0.63755	0.85929	0.98574	0.52377	0.72208
ZNF804B	4	0.18677	1.4326	0.16094	0.60339	0.15197	0.4735
HTR2C	4	0.10138	0.94768	0.40158	0.84285	0.34329	0.58842
ZFAND4	4	0.019731	0.18174	0.69189	0.959	0.85579	0.91873
SMPD3	4	-0.19992	-1.4124	0.65649	0.94932	0.15783	0.4735
C7	4	0.22365	1.4486	0.098792	0.48629	0.14744	0.4735
JUP	4	0.20882	1.1943	0.12191	0.53212	0.23235	0.50217
GDPGP1	4	-0.029629	-0.31011	0.87287	0.98868	0.75648	0.85612
RHBDD1	4	0.17858	1.2927	0.17899	0.62781	0.19613	0.48049
BTLA	4	0.22805	1.0863	0.091632	0.4647	0.27736	0.53267
CSRP3	4	0.13355	1.4336	0.29772	0.76576	0.15169	0.4735
LRRC20	4	0.2306	1.4507	0.08855	0.45734	0.14686	0.4735
HOXB9	4	-0.44359	-2.1877	0.28012	0.75123	0.028692	0.27638
GRN	4	0.024287	0.68687	0.67404	0.95507	0.49217	0.70689
OR10H4	4	-0.01481	-0.35478	0.81743	0.97933	0.72275	0.83314
HRH1	4	0.11037	0.98188	0.3717	0.82577	0.32616	0.57286
GALK2	4	-0.018796	-0.093454	0.83309	0.9813	0.92554	0.95899
P4HA2	4	0.15408	1.3725	0.24104	0.71179	0.1699	0.47366
LHX8	4	0.324	1.3103	0.018147	0.18406	0.19011	0.4785
PPP1R9B	4	-0.069197	-0.61567	0.99632	0.9992	0.53811	0.7237
CSAD	4	0.19854	1.43	0.13872	0.56604	0.15272	0.4735
VTI1B	4	-0.13784	-1.4717	0.796	0.9761	0.14109	0.4735
FAT4	4	0.22802	1.3994	0.091682	0.46472	0.16168	0.4735
CT45A10	4	0.18186	1.3942	0.17083	0.61599	0.16326	0.4735
PRAC2	4	-0.0062072	-0.014779	0.78581	0.97465	0.98821	0.99315
TMEM145	4	-0.00095322	-0.013067	0.76736	0.97114	0.98957	0.99397
VPS35	4	-0.90906	-2.5398	0.041714	0.30699	0.011093	0.14461
MSMB	4	-0.14947	-1.1913	0.76677	0.97114	0.23354	0.5033
Non-Targeting_Control-N947	1	0.1074	0.67323	0.73544	0.96825	0.5008	0.71165
SKA1	4	-0.047291	-0.24619	0.93367	0.99343	0.80554	0.88724
KATNAL2	4	0.088191	0.50009	0.44533	0.86765	0.61701	0.7613
OR7A5	4	0.032636	0.54571	0.64366	0.94683	0.58527	0.7409
Non-Targeting_Control-N592	1	0.50921	0.5451	0.05658	0.36285	0.58569	0.74111
TOX	4	0.072962	0.9543	0.49843	0.89321	0.33993	0.58551
C5orf67	4	0.020964	0.42403	0.68612	0.9572	0.67155	0.79842
NPAT	4	-0.76355	-2.2837	0.071695	0.41271	0.022391	0.23178
MMP13	4	-0.075869	-0.62063	0.97395	0.99639	0.53484	0.72319
SLC12A8	4	0.22876	1.5401	0.090936	0.46358	0.12353	0.4735
BEND4	4	0.093303	0.91004	0.42748	0.85523	0.3628	0.60592
FKBP4	4	-0.061446	-0.4466	0.97922	0.99711	0.65517	0.78685
EPHA1	4	0.16733	1.3232	0.20623	0.66528	0.18578	0.47697
KLF15	4	0.26928	1.5849	0.047432	0.32761	0.11299	0.4735
TMIE	4	0.19454	1.2403	0.14617	0.58	0.21488	0.49207
MAGEC2	4	0.15731	1.2782	0.23328	0.70218	0.20118	0.48309
TNPO2	4	-0.092868	-0.62219	0.92095	0.99224	0.53382	0.72293
HMSD	4	0.098377	0.64305	0.41048	0.84743	0.52019	0.72106
TMEM259	4	-0.0044276	-0.062937	0.7795	0.97279	0.94982	0.97154
VAMP7	4	0.17136	1.4667	0.19599	0.652	0.14247	0.4735
KRT13	4	0.27977	1.4698	0.040422	0.30145	0.14161	0.4735
ATP12A	4	0.039561	0.80965	0.6194	0.94193	0.41814	0.65235
LFNG	4	-0.013947	-0.16795	0.8143	0.97921	0.86663	0.92499
RNF214	4	-0.064526	-1.289	0.98981	0.9988	0.1974	0.48105
SNAP91	4	0.049377	0.75841	0.58345	0.93088	0.4482	0.67741
MUC22	4	0.033603	0.51647	0.63954	0.94549	0.60553	0.75197
APBA3	4	-0.33994	-1.72	0.41386	0.84828	0.085441	0.4735
JADE3	4	0.11851	1.5925	0.34495	0.80841	0.11128	0.4735
EGLN1	4	0.023165	0.23256	0.67782	0.95546	0.8161	0.89427
CRP	4	-0.28934	-1.0932	0.49416	0.89149	0.27431	0.53086
HAGHL	4	-0.24614	-1.1911	0.56789	0.92523	0.23362	0.5033
ZFAND2A	4	0.010114	0.14773	0.72719	0.96541	0.88255	0.93455
ACTN4	4	-0.058876	-0.68567	0.97171	0.99608	0.49292	0.70715
CDC42EP2	4	-0.088535	-1.3897	0.93417	0.99343	0.16463	0.4735
P2RY12	4	0.13866	0.92886	0.2827	0.75394	0.35296	0.59726
NOV	4	-0.12622	-1.0352	0.82713	0.9813	0.30056	0.55037
SETD1B	4	-0.006696	-0.083503	0.78825	0.97482	0.93345	0.96332
NKD2	4	-0.026414	-0.25206	0.86113	0.98656	0.801	0.88436
OR14I1	4	0.28216	1.5993	0.039278	0.29834	0.10976	0.4735
TRPM2	4	0.077695	1.6708	0.48168	0.88515	0.094765	0.4735
RBM10	4	-0.80398	-2.6693	0.061403	0.38153	0.0076007	0.11014
TMTC3	4	0.37971	1.2567	0.0058171	0.083571	0.20885	0.48876
COL5A1	4	0.18747	1.4436	0.15915	0.60056	0.14884	0.4735
PYGB	4	0.18996	0.98737	0.15468	0.59359	0.32346	0.57039
TMEM100	4	0.13917	1.0853	0.28101	0.752	0.27777	0.53277
PROB1	4	0.022046	0.27724	0.68205	0.95671	0.7816	0.87209
NUGGC	4	0.020483	0.29524	0.68806	0.95746	0.76781	0.86336
SLC24A5	4	0.1461	1.4733	0.26262	0.73683	0.14067	0.4735
RNF170	4	0.14397	1.2617	0.26948	0.74615	0.20707	0.48768
ADRBK2	4	-0.12865	-1.3795	0.82051	0.9801	0.16774	0.4735
OR56A3	4	0.084511	1.1829	0.45707	0.87318	0.23684	0.50457
Non-Targeting_Control-N670	1	0.12014	0.66889	0.70427	0.96154	0.50356	0.7131
GLUD2	4	0.19103	1.3325	0.15284	0.59098	0.18268	0.47622
MDM1	4	0.23318	1.0181	0.085467	0.44979	0.30864	0.55718
RARRES3	4	0.17762	1.0728	0.18128	0.63112	0.28338	0.53729
MUC15	4	0.42959	1.4407	0.0023865	0.044527	0.14968	0.4735
AP3B2	4	0.37552	1.5145	0.0064635	0.090592	0.1299	0.4735
DEFB108B	4	0.0004647	0.0054913	0.7619	0.97114	0.99562	0.99716
MS4A12	4	0.26263	1.5938	0.052951	0.34884	0.11098	0.4735
MFAP2	4	0.19912	1.4821	0.13752	0.56323	0.13833	0.4735
OXGR1	4	-0.075041	-1.0278	0.97628	0.99645	0.30404	0.5528
ASIC1	4	-0.15327	-1.1757	0.75762	0.97048	0.23971	0.50658
GAP43	4	0.24144	1.6457	0.075822	0.42385	0.099829	0.4735
TMEM101	4	0.051276	0.57488	0.57664	0.92873	0.56537	0.73088
OR2Z1	4	0.033535	0.32521	0.63988	0.94549	0.74502	0.84855
GCSAM	4	0.038646	1.0897	0.62308	0.9429	0.27585	0.53148
RALGPS1	4	0.014292	0.17636	0.71088	0.96154	0.86001	0.9213
Non-Targeting_Control-N309	1	0.17377	0.65077	0.56441	0.92437	0.5152	0.71925
PANX1	4	-0.020804	-0.27228	0.83985	0.9813	0.78541	0.87445
IER2	4	-0.14478	-0.82716	0.77795	0.97279	0.40814	0.64342
DOCK5	4	-0.00062756	-0.014212	0.76612	0.97114	0.98866	0.99335
CPAMD8	4	0.098607	0.86098	0.40983	0.84743	0.38925	0.6283
CCDC65	4	0.21305	1.3473	0.11455	0.51566	0.17789	0.4762
MMD2	4	-0.056914	-1.3471	0.96465	0.99518	0.17796	0.4762
CLDN34	4	-0.0026043	-0.047486	0.77244	0.97125	0.96213	0.97872
CDH23	4	0.15432	1.1538	0.24054	0.71084	0.24857	0.51246
HLA-DMB	4	0.17359	1.1857	0.19087	0.64467	0.23574	0.5041
REG3G	4	0.1546	1.2543	0.23994	0.7101	0.20974	0.48876
S100A9	4	0.1616	1.1749	0.22145	0.68671	0.24005	0.50685
ADAM23	4	0.030956	0.44158	0.64938	0.94803	0.65879	0.78927
ZNF180	4	0.016173	0.23194	0.70407	0.96154	0.81658	0.89465
TRMT12	4	-0.21998	-1.5762	0.61592	0.93948	0.11497	0.4735
SENP5	4	-0.099723	-1.0143	0.90086	0.98919	0.31042	0.55848
SPRY4	4	-0.071417	-0.42453	0.98916	0.9988	0.67118	0.79825
JUNB	4	0.38378	1.2951	0.0054194	0.079562	0.19529	0.48015
TMC5	4	0.049065	0.48956	0.5846	0.93119	0.62445	0.76653
PDCD2	4	-2.1523	-4.0138	0.0002486	0.010823	5.9759e-05	0.0038772
METTL15	4	0.25126	1.6435	0.065281	0.39412	0.10028	0.4735
Non-Targeting_Control-N697	1	0.493	0.5499	0.065579	0.39491	0.58239	0.7389
GCC2	4	0.25749	1.5953	0.058619	0.37181	0.11064	0.4735
TSG101	4	-1.2918	-2.8876	0.0088997	0.11174	0.0038825	0.066914
PALD1	4	-0.1305	-1.008	0.81559	0.97926	0.31345	0.56157
CBFA2T2	4	-0.14302	-1.9328	0.78248	0.97371	0.053259	0.40271
SOS2	4	0.1186	1.1051	0.34455	0.80835	0.2691	0.52641
UBXN11	4	-0.20815	-1.8353	0.63959	0.94549	0.066455	0.45285
CLMN	4	-0.062096	-0.89847	0.98155	0.99793	0.36894	0.6113
CFAP44	4	0.09924	1.0406	0.40844	0.84743	0.29808	0.54873
BTG3	4	0.11433	1.0281	0.35902	0.81824	0.3039	0.55261
C10orf35	4	0.099659	0.91581	0.40735	0.84739	0.35976	0.6032
TM6SF1	4	0.28396	0.89882	0.038284	0.29389	0.36875	0.61118
TMEM147	4	-0.20697	-1.596	0.64172	0.94592	0.11048	0.4735
ASMTL	4	0.20061	1.6606	0.13444	0.55727	0.096798	0.4735
ADRA2B	4	0.0051568	0.042642	0.74544	0.96843	0.96599	0.98165
PGPEP1	4	-0.11893	-1.1384	0.84677	0.98321	0.25496	0.51794
TMEM65	4	-0.0056875	-0.047919	0.78427	0.974	0.96178	0.97852
FZD5	4	0.13486	0.83121	0.29404	0.76369	0.40586	0.64122
Non-Targeting_Control-N753	1	0.15174	0.65816	0.62169	0.9429	0.51043	0.71697
MYO5A	4	0.07365	0.52884	0.4959	0.89149	0.59692	0.74626
ZEB2	4	0.18766	1.1205	0.1588	0.59959	0.2625	0.5215
MTRNR2L7	4	0.06298	0.4781	0.53398	0.9106	0.63258	0.77212
PLB1	4	0.048952	0.9202	0.58509	0.93134	0.35747	0.60098
OR6C2	4	-0.080117	-0.93493	0.96067	0.99518	0.34982	0.5937
OVOL1	4	-0.099111	-0.98788	0.90275	0.98927	0.32321	0.57032
SLITRK6	4	0.12077	1.2405	0.33754	0.80296	0.21479	0.49207
SP8	4	0.077692	1.0857	0.48173	0.88515	0.27763	0.53277
PTH	4	0.25642	1.601	0.059812	0.37559	0.10938	0.4735
ZFAND3	4	0.046443	1.3791	0.59394	0.93431	0.16785	0.4735
LRIG3	4	0.004144	0.086799	0.74947	0.96859	0.93083	0.96241
ST8SIA5	4	-0.054151	-0.61215	0.95545	0.99518	0.54044	0.72437
NPPB	4	-0.0093206	-0.063778	0.79769	0.97685	0.94915	0.97136
DECR1	4	0.16047	1.2828	0.22384	0.68933	0.19958	0.48203
CRYZ	4	0.095213	0.88832	0.42147	0.85266	0.37437	0.61577
ZSCAN30	4	0.091983	0.83053	0.43186	0.85772	0.40624	0.64164
NFATC2IP	4	-0.089621	-1.0411	0.93084	0.99343	0.29784	0.54851
TTC16	4	0.0083517	0.080297	0.73365	0.96811	0.936	0.96454
ZKSCAN8	4	-0.0026857	-0.026386	0.77263	0.97125	0.97895	0.98843
IGF2BP2	4	-0.19924	-1.4977	0.65793	0.94949	0.13421	0.4735
HSPA1B	4	0.065032	1.3963	0.52633	0.90641	0.16262	0.4735
SLC38A10	4	-0.0012897	-0.030314	0.76896	0.97114	0.97582	0.98661
ZNF358	4	-0.08143	-1.0564	0.95669	0.99518	0.29079	0.54225
PODN	4	0.10698	1.0282	0.38284	0.83162	0.30386	0.55261
SMAP2	4	-0.055607	-0.33891	0.96032	0.99518	0.73468	0.84124
ZNF705D	4	0.19709	1.6194	0.1412	0.57074	0.10536	0.4735
HIST2H4B	4	-0.75238	-2.3475	0.075175	0.42274	0.018901	0.20573
C10orf54	4	0.16728	0.92657	0.20638	0.66528	0.35415	0.59839
CC2D2A	4	0.14326	1.3158	0.27087	0.74648	0.18824	0.47771
