Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
A1BG	4	0.020975	0.29589	0.70694	0.95086	0.76731	0.8617
A2M	4	0.060638	1.3077	0.5359	0.89002	0.19096	0.49564
NAT1	4	-0.13678	-1.6732	0.71574	0.95319	0.094284	0.49029
NAT2	4	0.15766	1.6661	0.20271	0.66417	0.095684	0.49029
SERPINA3	4	0.11459	0.84536	0.33035	0.78036	0.39791	0.64285
AADAC	4	0.089063	0.89237	0.42229	0.83469	0.3722	0.62152
AAMP	4	-0.98587	-2.0134	0.010392	0.13732	0.044072	0.4512
AANAT	4	-0.18154	-1.9198	0.59542	0.91141	0.054879	0.48778
AARS	4	-1.5986	-2.7198	0.00029833	0.012146	0.0065315	0.18502
ABAT	4	0.25474	1.547	0.045843	0.34313	0.12187	0.49029
ABCA1	4	-0.058903	-0.42211	0.96977	0.99724	0.67294	0.79857
ABCA2	4	-0.16372	-1.1513	0.63997	0.92771	0.2496	0.52332
ABCA3	4	-0.054279	-0.64149	0.98667	0.99905	0.5212	0.73264
ABCB7	4	-1.7361	-2.4064	0.00019889	0.0095465	0.016109	0.28979
ABCF1	4	-1.6176	-3.0322	0.00029833	0.012146	0.002428	0.109
ABCA4	4	-0.030112	-0.27334	0.91935	0.99047	0.7846	0.87248
ABL1	4	-0.00023638	-0.0029762	0.79888	0.97287	0.99763	0.99868
AOC1	4	0.40627	1.4129	0.00179	0.044554	0.15769	0.49029
ABL2	4	-0.26726	-1.9959	0.4108	0.82807	0.045942	0.45795
ABO	4	0.12765	1.2669	0.28863	0.75078	0.2052	0.49979
ABR	4	-0.15089	-1.1841	0.67472	0.93975	0.23636	0.51705
ACAA1	4	0.091977	0.45082	0.41095	0.82807	0.65212	0.78453
ACACA	4	-0.49906	-2.3212	0.13514	0.57161	0.020278	0.32208
ACACB	4	0.026094	0.7953	0.68452	0.94417	0.42644	0.66428
ACADL	4	-0.092669	-1.3414	0.85516	0.98261	0.17979	0.49252
ACADM	4	0.037152	0.3108	0.63668	0.92708	0.75595	0.85448
ACADS	4	-0.13853	-1.4159	0.71037	0.95139	0.15679	0.49029
ACADSB	4	0.06181	1.6077	0.53127	0.88948	0.10791	0.49029
ACADVL	4	-0.094048	-0.59396	0.85054	0.98261	0.55254	0.73324
ACAT1	4	-0.16585	-1.3623	0.6344	0.92633	0.1731	0.49233
ACAT2	4	0.062961	0.64793	0.52615	0.88828	0.51703	0.73102
ASIC2	4	0.2464	1.4784	0.052953	0.37043	0.13929	0.49029
ASIC1	4	-0.12202	-1.171	0.76124	0.96348	0.24159	0.51916
ACHE	4	-0.07044	-0.96409	0.93039	0.99254	0.335	0.59309
ACLY	4	-0.6601	-1.6499	0.058025	0.38706	0.098957	0.49029
ACO1	4	0.13131	1.1755	0.2776	0.74255	0.23981	0.51816
ACR	4	-0.26735	-1.2712	0.41045	0.82773	0.20366	0.49941
ACO2	4	-0.59155	-1.8315	0.081991	0.45933	0.067022	0.49029
ACOX1	4	0.16116	0.97307	0.19386	0.65266	0.33052	0.58919
ACP1	4	0.14478	1.4159	0.23807	0.70734	0.15681	0.49029
ACP2	4	0.042201	0.67091	0.61401	0.91783	0.50228	0.72332
ACP5	4	0.073115	1.112	0.48648	0.87031	0.26615	0.53652
ACPP	4	0.10813	0.87948	0.35377	0.79767	0.37914	0.62765
ACRV1	4	0.16462	1.1497	0.187	0.64666	0.25026	0.52364
ACTA1	4	0.060553	0.20968	0.53615	0.89005	0.83391	0.90384
ACTA2	4	0.16188	1.6186	0.19242	0.65141	0.10553	0.49029
ACTB	4	-0.77512	-2.5573	0.031474	0.27678	0.010548	0.23463
ACTC1	4	-0.011885	-0.16186	0.84735	0.98238	0.87142	0.92705
ACTG1	4	-0.65787	-2.0052	0.058671	0.38918	0.044942	0.45375
ACTG2	4	0.10303	1.5379	0.37167	0.80778	0.12408	0.49029
ACTN4	4	-0.1315	-1.3243	0.73255	0.95867	0.18541	0.4935
ACTL6A	4	-0.79337	-1.6357	0.02859	0.25995	0.1019	0.49029
ACTN1	4	0.11895	0.5719	0.31623	0.77095	0.56739	0.73381
ACTN2	4	-0.040274	-0.26331	0.95968	0.99665	0.79231	0.87651
ACTN3	4	-0.13186	-0.87508	0.7313	0.95811	0.38153	0.62937
ACVR1	4	-0.20965	-1.7897	0.52859	0.88938	0.073507	0.49029
ACVR1B	4	0.2156	1.2846	0.08935	0.47667	0.19895	0.49795
ACVR2A	4	-0.069162	-0.62127	0.93402	0.99277	0.53442	0.73324
ACVR2B	4	0.0074022	0.09751	0.76422	0.96364	0.92232	0.95662
ACVRL1	4	0.042515	0.30212	0.61252	0.9176	0.76256	0.85867
ACY1	4	-0.09515	-1.0165	0.84651	0.98238	0.30939	0.57197
ACYP1	4	0.059584	0.41741	0.54008	0.89097	0.67638	0.80076
ACYP2	4	-0.11598	-1.1546	0.77973	0.96844	0.24825	0.52198
ADA	4	0.12236	1.1592	0.30489	0.76388	0.24637	0.52091
ADAM8	4	-0.12703	-0.94103	0.74548	0.96048	0.34669	0.60233
ADAM10	4	0.11913	0.63945	0.31518	0.77095	0.52253	0.73297
ADAR	4	-0.59646	-2.0572	0.080101	0.45419	0.039667	0.43287
ADARB1	4	0.14972	1.2172	0.22365	0.69056	0.22351	0.50938
ADARB2	4	-0.11243	-1.6117	0.79206	0.97167	0.10702	0.49029
ADCY1	4	-0.0072643	-0.14605	0.82891	0.98031	0.88389	0.93488
ADCY2	4	0.16808	1.6378	0.17815	0.63393	0.10147	0.49029
ADCY3	4	-0.25114	-1.073	0.44009	0.84727	0.28327	0.54948
ADCY5	4	-0.0095599	-0.21046	0.8386	0.98115	0.83331	0.90355
ADCY6	4	-0.00049493	-0.0065601	0.80017	0.9731	0.99477	0.9966
ADCY7	4	-0.069657	-0.59025	0.93243	0.99254	0.55502	0.73324
ADCY8	4	0.14177	0.8849	0.24712	0.71593	0.37621	0.6249
ADCY9	4	0.20764	1.3835	0.10004	0.49975	0.16652	0.4907
ADCYAP1	4	-0.012548	-0.15929	0.85029	0.98261	0.87344	0.92847
ADCYAP1R1	4	0.093455	1.1551	0.40503	0.82466	0.24803	0.52189
ADD1	4	0.11537	1.0644	0.32747	0.77821	0.28714	0.55257
ADD2	4	-0.10957	-0.87252	0.79982	0.9731	0.38292	0.63038
ADD3	4	0.30699	1.4612	0.016657	0.18642	0.14397	0.49029
PLIN2	4	0.12115	0.88337	0.30897	0.76661	0.37704	0.62575
ADH1A	4	-0.045946	-0.79102	0.9817	0.99884	0.42893	0.66619
ADH1B	4	0.25051	1.5015	0.048777	0.35187	0.13323	0.49029
ADH1C	4	0.076724	0.57944	0.47146	0.86199	0.56229	0.73334
ADH4	4	0.31442	1.4525	0.013872	0.1648	0.14635	0.49029
ADH5	4	0.1088	0.66022	0.35079	0.79493	0.50911	0.72722
ADH6	4	0.13959	1.0418	0.25358	0.7216	0.29749	0.56085
ADH7	4	-0.081651	-1.0149	0.8922	0.98745	0.31017	0.57263
ADK	4	-0.059617	-1.4796	0.96703	0.99724	0.13897	0.49029
ADM	4	0.042814	0.38493	0.61118	0.91719	0.70029	0.81723
ADORA1	4	-0.3654	-1.4847	0.26631	0.73226	0.13762	0.49029
ADORA2A	4	0.046109	0.48546	0.59681	0.9121	0.62735	0.76786
ADORA2B	4	0.13701	0.32356	0.26059	0.72812	0.74627	0.84835
ADORA3	4	0.086643	1.0827	0.43178	0.84168	0.27893	0.54588
ADPRH	4	0.095206	0.77445	0.39936	0.82266	0.43866	0.67383
PARP1	4	-0.65088	-2.18	0.060461	0.39622	0.029256	0.38407
PARP4	4	0.11496	0.67415	0.32886	0.77902	0.50022	0.722
ADRA1D	4	0.078058	0.54705	0.46664	0.86188	0.58435	0.74081
ADRA1B	4	0.21562	1.5873	0.0893	0.47667	0.11244	0.49029
ADRA1A	4	0.021394	0.49034	0.70525	0.95037	0.6239	0.7658
ADRA2A	4	0.19466	1.5687	0.12232	0.54862	0.11672	0.49029
ADRA2B	4	0.0018536	0.016555	0.78993	0.97091	0.98679	0.99253
ADRA2C	4	-0.10651	-1.0699	0.81151	0.97766	0.28464	0.55051
ADRB1	4	0.17662	1.5991	0.15985	0.60971	0.1098	0.49029
ADRB2	4	0.11399	1.2592	0.33269	0.78192	0.20797	0.50111
ADRB3	4	-0.22453	-1.9749	0.49483	0.87406	0.048274	0.46434
ADRBK1	4	-0.042536	-0.37243	0.96873	0.99724	0.70957	0.82336
ADRBK2	4	0.042937	0.41249	0.61058	0.9169	0.67998	0.80316
ADSL	4	-0.77401	-2.4246	0.031523	0.27686	0.015327	0.28463
ADSS	4	0.27829	1.4412	0.02859	0.25995	0.14952	0.49029
AP2A1	4	-0.34791	-1.6607	0.28913	0.751	0.096775	0.49029
AP2A2	4	0.10803	1.1157	0.35407	0.79778	0.26456	0.53572
AP1B1	4	-0.032483	-0.2149	0.92905	0.99254	0.82985	0.90094
AP2B1	4	-0.20044	-1.5396	0.54878	0.89397	0.12365	0.49029
AP1G1	4	-0.0074045	-0.10149	0.82965	0.98043	0.91916	0.95499
AEBP1	4	-0.2501	-1.6479	0.44188	0.848	0.099382	0.49029
AES	4	-0.068543	-0.36433	0.93631	0.99283	0.71561	0.82748
CRISP1	4	0.21862	1.4788	0.085819	0.46992	0.1392	0.49029
AFM	4	0.20873	1.3835	0.098449	0.49612	0.1665	0.4907
AFP	4	0.012645	0.11478	0.74234	0.96025	0.90862	0.94921
AGA	4	-0.063746	-0.5025	0.95406	0.99539	0.61532	0.76015
ACAN	4	-0.053619	-0.49514	0.98886	0.99905	0.6205	0.76365
AGER	4	0.14126	1.589	0.24891	0.71781	0.11207	0.49029
AGL	4	0.064921	0.98189	0.5178	0.88247	0.32615	0.58589
AGRP	4	0.12897	1.3788	0.28441	0.74707	0.16794	0.49091
JAG1	4	-0.0047847	-0.16283	0.81857	0.9788	0.87065	0.92645
AGT	4	-0.086964	-0.44966	0.87475	0.98621	0.65296	0.78495
AGTR1	4	0.22486	1.67	0.077516	0.44773	0.094918	0.49029
AGTR2	4	0.067962	1.0988	0.50631	0.8784	0.27185	0.54071
APLNR	4	0.046688	0.68422	0.59422	0.91069	0.49384	0.71686
AGXT	4	0.23657	1.251	0.063146	0.40575	0.21093	0.50262
NR0B1	4	0.20023	1.5761	0.11292	0.53232	0.11499	0.49029
AHCY	4	-0.60447	-1.8804	0.076024	0.44319	0.060056	0.49029
AHR	4	0.26922	1.4865	0.034755	0.29456	0.13716	0.49029
AHSG	4	0.043566	0.32399	0.60775	0.91581	0.74595	0.8481
AIF1	4	0.12134	0.98469	0.30822	0.76581	0.32478	0.5844
AIM1	4	0.10997	1.1725	0.34701	0.79246	0.24101	0.51885
AK1	4	-0.13022	-1.5743	0.73593	0.9596	0.11541	0.49029
AK2	4	-0.29542	-0.81561	0.36371	0.80422	0.41473	0.65601
AK4	4	-0.19226	-1.0554	0.56876	0.90003	0.29125	0.55558
AKT1	4	-0.57409	-2.277	0.089648	0.47724	0.022787	0.33746
AKT2	4	-0.077907	-0.41304	0.90424	0.98832	0.67958	0.80292
ALAD	4	0.048074	0.82812	0.5888	0.90949	0.4076	0.65082
ALAS1	4	0.26654	1.6173	0.036496	0.30115	0.10581	0.49029
ALAS2	4	0.029721	0.32093	0.66826	0.9368	0.74826	0.84949
ALB	4	0.30672	1.3273	0.016756	0.18722	0.18441	0.4935
ALCAM	4	-0.12843	-0.95958	0.7411	0.96025	0.33727	0.59485
ABCD1	4	0.06409	0.8109	0.52133	0.88526	0.41742	0.65822
ALDH1A1	4	0.16007	1.4547	0.197	0.6576	0.14575	0.49029
ALDH2	4	-0.068153	-1.3075	0.93775	0.99295	0.19103	0.49564
ALDH3A1	4	0.0769	0.95645	0.47086	0.86199	0.33885	0.59576
ALDH1B1	4	-0.049667	-0.49918	0.99612	0.99905	0.61765	0.76182
ALDH1A3	4	0.18222	1.5952	0.14708	0.58917	0.11067	0.49029
ALDH3B1	4	0.20004	1.39	0.11317	0.53232	0.16454	0.4904
ALDH3B2	4	-0.20294	-1.7766	0.54326	0.89114	0.075632	0.49029
ALDH9A1	4	-0.1247	-1.3873	0.75249	0.96126	0.16536	0.49045
ALDH3A2	4	0.18856	0.69219	0.1342	0.56929	0.48882	0.71328
ABCD2	4	0.10641	1.0169	0.35964	0.80128	0.30919	0.57191
ALDOA	4	-1.8762	-3.8083	0.00014916	0.0091743	0.00013992	0.022334
ALDOB	4	-0.18502	-0.8918	0.58671	0.90909	0.3725	0.62167
ALDOC	4	-0.24631	-1.3739	0.44963	0.85151	0.16946	0.49112
AKR1B1	4	0.35762	1.4058	0.0052208	0.090361	0.15977	0.49029
ALK	4	0.16642	0.96722	0.18193	0.63991	0.33343	0.5919
ALOX12	4	0.14666	1.3039	0.23235	0.69975	0.19228	0.49622
ALOX5	4	0.15824	0.82169	0.20112	0.66192	0.41125	0.65343
ALOX5AP	4	0.18659	1.3009	0.13823	0.57688	0.1933	0.49645
ALOX12B	4	0.017497	0.16351	0.7227	0.95554	0.87012	0.92617
ALOX15	4	-0.014788	-0.44345	0.85904	0.98299	0.65744	0.78817
ALOX15B	4	-0.20574	-1.6004	0.53689	0.89042	0.1095	0.49029
ALPI	4	0.013479	0.13462	0.73881	0.96025	0.89291	0.94002
ALPL	4	-0.0042084	-0.084953	0.81608	0.97878	0.9323	0.96264
ALPP	4	0.23312	1.4894	0.066875	0.41744	0.13638	0.49029
ALPPL2	4	0.10249	1.0681	0.37341	0.80927	0.28546	0.55099
ALX3	4	-0.059679	-0.89528	0.96694	0.99724	0.37064	0.62001
AMBN	4	-0.047483	-0.66412	0.98797	0.99905	0.50661	0.72636
AMBP	4	-0.089955	-1.5653	0.86401	0.98377	0.1175	0.49029
AMD1	4	-0.12286	-0.58208	0.7586	0.96295	0.56052	0.73324
AMELX	4	0.14031	1.5099	0.25169	0.72016	0.13106	0.49029
AMELY	4	0.40644	1.4337	0.0017403	0.043587	0.15166	0.49029
AMFR	4	-0.021558	-0.81462	0.88738	0.98695	0.41529	0.65633
AMH	4	0.24173	1.0925	0.05723	0.38418	0.27462	0.5427
AMHR2	4	0.089706	0.77363	0.4198	0.833	0.43915	0.67426
AMPD1	4	0.061402	0.84787	0.53282	0.88948	0.39651	0.64218
AMPD2	4	0.097961	0.86655	0.38937	0.81684	0.38619	0.6329
AMPD3	4	-0.098137	-0.90454	0.83686	0.98088	0.36571	0.61653
AMPH	4	0.026262	0.40895	0.68372	0.94361	0.68258	0.80437
BIN1	4	-0.12655	-1.12	0.74702	0.96052	0.26271	0.5344
AMT	4	0.024058	0.52926	0.69332	0.94622	0.59663	0.74822
AMY1A	4	-0.24767	-1.0845	0.4471	0.85023	0.27812	0.54534
AMY1B	4	-0.42111	-2.0752	0.20381	0.66542	0.037964	0.4267
AMY1C	4	-0.51947	-2.0235	0.12127	0.54619	0.043021	0.44473
AMY2A	4	0.082271	0.62645	0.44819	0.8507	0.53102	0.73324
AMY2B	4	-0.095384	-0.54191	0.84606	0.98238	0.58788	0.74287
ANG	4	0.00047223	0.0083638	0.79579	0.97183	0.99333	0.99595
ANGPT1	4	0.00057786	0.0066593	0.7955	0.97183	0.99469	0.9966
ANGPT2	4	0.063884	0.61609	0.52223	0.88566	0.53784	0.73324
ANK1	4	0.019176	0.14956	0.71529	0.9529	0.88111	0.93315
ANK2	4	0.25333	1.5739	0.046937	0.34615	0.11552	0.49029
ANK3	4	-0.074887	-0.80398	0.91493	0.99027	0.42141	0.66126
ANPEP	4	0.18555	1.2306	0.14012	0.57829	0.21848	0.50631
SLC25A4	4	0.015196	0.2597	0.733	0.95867	0.7951	0.87831
SLC25A5	4	-0.22241	-1.2683	0.4997	0.87643	0.2047	0.49961
SLC25A6	4	-0.14892	-1.495	0.68114	0.94263	0.1349	0.49029
ANXA1	4	-0.099244	-1.3476	0.83338	0.98076	0.17779	0.49252
ANXA2	4	-0.17045	-1.6525	0.62207	0.92186	0.098429	0.49029
ANXA3	4	0.05913	0.58685	0.54172	0.89097	0.55731	0.73324
ANXA4	4	0.18888	1.2081	0.13345	0.56828	0.227	0.51067
ANXA5	4	0.14741	0.804	0.22951	0.6947	0.4214	0.66126
ANXA6	4	0.11063	1.255	0.34462	0.79004	0.20948	0.5015
ANXA7	4	0.081633	1.1722	0.45122	0.85253	0.24111	0.51885
ANXA11	4	0.13105	0.95921	0.27814	0.74309	0.33745	0.59485
ANXA13	4	0.15581	1.5118	0.20714	0.67075	0.13058	0.49029
AOAH	4	0.14703	1.0527	0.23061	0.69671	0.29249	0.55597
AOC2	4	-0.13435	-1.5014	0.7226	0.95554	0.13324	0.49029
AOX1	4	0.092729	0.75911	0.40821	0.82654	0.44778	0.68112
APAF1	4	0.29941	1.1985	0.019193	0.20476	0.23073	0.5123
NUDT2	4	0.089556	0.7468	0.42064	0.83383	0.45519	0.68708
APOF	4	0.13038	1.6287	0.28008	0.74412	0.10337	0.49029
APBA1	4	0.018752	0.18868	0.71728	0.95347	0.85034	0.9142
APBA2	4	-0.032896	-0.36094	0.93054	0.99254	0.71814	0.82902
APBB1	4	-0.079565	-0.52798	0.89897	0.98831	0.59752	0.74864
APBB2	4	-0.008948	-0.064026	0.83607	0.98076	0.94895	0.97087
APC	4	0.24678	1.07	0.052605	0.36877	0.28463	0.55051
APCS	4	0.0032117	0.058941	0.78426	0.9694	0.953	0.97315
AIRE	4	-0.1496	-1.5746	0.67949	0.94198	0.11535	0.49029
APEH	4	-0.029969	-0.47768	0.9188	0.99046	0.63288	0.77136
APEX1	4	-0.022261	-0.17344	0.89007	0.98716	0.86231	0.92139
BIRC2	4	-0.30661	-1.8479	0.34706	0.79246	0.064622	0.49029
BIRC3	4	0.054224	0.48903	0.5618	0.89853	0.62482	0.76634
XIAP	4	0.1179	1.0631	0.31911	0.77402	0.28776	0.55302
BIRC5	4	-1.5197	-2.954	0.00049722	0.018315	0.0031365	0.12561
APLP1	4	-0.049407	-0.26622	0.99523	0.99905	0.79007	0.87519
APLP2	4	0.031915	0.47087	0.65896	0.93364	0.63774	0.77448
APOA1	4	0.26967	1.0053	0.034358	0.29205	0.31474	0.57578
APOA2	4	-0.1418	-1.1611	0.70192	0.95015	0.2456	0.52031
APOA4	4	-0.20097	-1.1512	0.54768	0.89328	0.24966	0.52332
APOB	4	0.07043	1.1499	0.49697	0.87454	0.25018	0.52364
APOBEC1	4	-0.17416	-1.2301	0.61312	0.91762	0.21867	0.50645
APOC1	4	-0.030037	-0.25967	0.91895	0.99046	0.79512	0.87831
AQP8	4	0.0017086	0.057754	0.79067	0.97123	0.95394	0.9736
APOC2	4	-0.070099	-0.66372	0.93119	0.99254	0.50687	0.7264
APOC3	4	0.078468	1.2239	0.46495	0.86081	0.221	0.50815
APOC4	4	-0.081405	-1.4262	0.8932	0.98761	0.15382	0.49029
APOD	4	-0.0086217	-0.080092	0.83487	0.98076	0.93616	0.96504
APOE	4	-0.12291	-1.0191	0.75845	0.96294	0.30813	0.5709
APOH	4	0.037842	0.29707	0.63365	0.92624	0.76641	0.86154
APP	4	-0.033516	-0.26963	0.93303	0.99254	0.78745	0.87401
APRT	4	-0.11249	-1.6365	0.79182	0.97167	0.10173	0.49029
KLK3	4	0.17271	0.8697	0.16731	0.61909	0.38446	0.63173
FAS	4	0.10311	0.97244	0.37142	0.80772	0.33083	0.58954
FASLG	4	-0.01322	-0.17091	0.85357	0.98261	0.8643	0.92251
SHROOM2	4	0.2218	1.4937	0.081344	0.45724	0.13524	0.49029
AQP1	4	0.17025	1.4501	0.17219	0.62459	0.14702	0.49029
AQP2	4	0.18531	1.5034	0.14061	0.57856	0.13274	0.49029
AQP3	4	-0.11816	-1.4396	0.77218	0.9655	0.14997	0.49029
AQP4	4	-0.019093	-0.30397	0.87764	0.98682	0.76115	0.85785
AQP5	4	-0.26345	-0.90706	0.41731	0.83229	0.36438	0.61576
AQP6	4	-0.011381	-0.61024	0.84527	0.98232	0.5417	0.73324
AQP7	4	-1.2048	-1.949	0.00358	0.070936	0.051293	0.47628
AQP9	4	0.16754	1.6187	0.1794	0.63521	0.10552	0.49029
AR	4	0.12596	1.2819	0.29341	0.75418	0.19987	0.49842
ABCC6	4	0.04743	0.58012	0.59099	0.90949	0.56184	0.73334
ARAF	4	-0.073403	-0.39299	0.9201	0.99047	0.69433	0.81306
ARCN1	4	-0.93005	-2.4125	0.013276	0.16036	0.015843	0.28862
TRIM23	4	-0.030516	-0.3023	0.92094	0.99064	0.76242	0.85856
AREG	4	0.34601	1.1996	0.0068616	0.10567	0.2303	0.51209
ARF1	4	-0.66842	-1.9838	0.05539	0.37899	0.047278	0.46103
ARF3	4	0.11049	1.2205	0.34512	0.79032	0.22226	0.50838
ARF4	4	-0.39711	-1.4286	0.22956	0.6947	0.15313	0.49029
ARL4D	4	0.0019966	0.010995	0.78913	0.97058	0.99123	0.99494
ARF5	4	-0.22459	-1.2335	0.49468	0.87406	0.21741	0.50539
ARF6	4	-0.50523	-2.0042	0.13082	0.56348	0.045047	0.45459
ARG1	4	0.17976	1.3039	0.1524	0.59619	0.19227	0.49622
ARG2	4	0.093104	1.2247	0.40657	0.82504	0.22068	0.50806
RHOA	4	0.28568	1.5437	0.025457	0.24381	0.12265	0.49029
RHOB	4	-0.30687	-2.1038	0.34651	0.79202	0.035396	0.41876
RHOC	4	-0.31225	-2.1513	0.33845	0.78646	0.031449	0.39527
RND3	4	0.11464	0.97614	0.33025	0.78022	0.329	0.58804
RHOG	4	-0.14141	-0.8979	0.70281	0.95019	0.36924	0.61943
ARHGAP1	4	-0.16207	-1.3465	0.64424	0.92844	0.17816	0.49252
ARHGAP4	4	0.07275	0.41049	0.48782	0.87139	0.68145	0.80402
ARHGAP5	4	-0.023011	-0.10285	0.893	0.98761	0.91809	0.95448
ARHGAP6	4	-0.025891	-0.36125	0.90324	0.98832	0.71792	0.82893
ARHGDIA	4	-0.36526	-2.1429	0.26636	0.73226	0.032119	0.399
ARHGDIB	4	0.17988	1.6886	0.15215	0.59591	0.091291	0.49029
ARHGDIG	4	-0.11659	-1.7617	0.7772	0.96768	0.078121	0.49029
RHOH	4	0.0089813	0.41731	0.75756	0.96294	0.67645	0.80079
ARL1	4	0.28288	1.2687	0.026601	0.25012	0.20455	0.49956
PHOX2A	4	0.14677	1.5208	0.2318	0.69916	0.12831	0.49029
ARL2	4	-1.4466	-2.6081	0.00094471	0.030995	0.0091034	0.21744
ARL3	4	0.2916	1.3797	0.022723	0.22861	0.16768	0.4907
ARNT	4	-0.19322	-1.9061	0.56623	0.89931	0.056644	0.49029
ARNTL	4	0.24393	1.4113	0.055141	0.37811	0.15816	0.49029
ARR3	4	0.15905	1.4344	0.19933	0.65948	0.15145	0.49029
ARRB1	4	0.19082	1.5601	0.12923	0.56085	0.11874	0.49029
ARRB2	4	-0.067213	-0.47359	0.94158	0.99329	0.63579	0.77343
ARSA	4	-0.039113	-0.40921	0.95446	0.99539	0.68239	0.80437
ARSB	4	-0.0081386	-0.079492	0.83299	0.98076	0.93664	0.96504
STS	4	-0.032661	-0.31864	0.92959	0.99254	0.75	0.85062
ARSD	4	0.18805	0.87272	0.13529	0.572	0.38282	0.63033
ARSE	4	0.024577	0.33508	0.69083	0.9455	0.73757	0.84236
ARSF	4	0.078832	0.90366	0.46321	0.85996	0.36618	0.61659
ART1	4	0.18975	0.52975	0.13131	0.56429	0.59628	0.74803
ART3	4	0.19954	1.3256	0.11371	0.53285	0.18496	0.4935
ART4	4	0.046053	0.48047	0.59711	0.91219	0.6309	0.7706
ARVCF	4	0.25233	1.5308	0.047534	0.34764	0.12582	0.49029
ASAH1	4	0.25322	1.2546	0.046987	0.34615	0.20963	0.50168
ASCL1	4	0.15958	1.2946	0.19789	0.65807	0.19546	0.49683
ASCL2	4	0.089745	1.194	0.4197	0.833	0.23247	0.51361
ASGR1	4	-0.092678	-1.0759	0.85516	0.98261	0.28196	0.54859
ASGR2	4	-0.0091126	-0.09251	0.83637	0.98076	0.92629	0.9589
ASIP	4	-0.017942	-0.10612	0.87296	0.98574	0.91549	0.95297
ASL	4	0.0038148	0.041037	0.78103	0.96885	0.96727	0.98112
ASMT	4	-0.14666	-1.3052	0.6879	0.94545	0.19181	0.49591
ASNA1	4	-1.3523	-3.1545	0.0015414	0.042005	0.001608	0.086096
ASNS	4	-0.066898	-0.89373	0.94237	0.99341	0.37146	0.62072
ASPA	4	0.049053	0.46516	0.58428	0.90776	0.64182	0.77747
ASPH	4	0.044098	0.43889	0.60501	0.9147	0.66074	0.79047
ASS1	4	-0.25495	-1.5053	0.43248	0.84178	0.13225	0.49029
ASTN1	4	-0.017841	-1.0318	0.87256	0.98562	0.30217	0.56527
SERPINC1	4	0.034621	0.49861	0.64668	0.92955	0.61806	0.76218
ZFHX3	4	-0.0070296	-0.0819	0.82781	0.98031	0.93473	0.96408
ATF1	4	-0.2271	-1.4027	0.48946	0.8718	0.1607	0.49029
ATF3	4	-0.11227	-1.1057	0.79261	0.97167	0.26887	0.5383
ATF4	4	-0.55598	-1.6314	0.099443	0.49888	0.10281	0.49029
ATIC	4	-0.43236	-1.7955	0.19292	0.65177	0.072581	0.49029
ATM	4	-0.22783	-0.79871	0.48851	0.87142	0.42446	0.66324
RERE	4	0.038247	0.26054	0.63241	0.92589	0.79445	0.87786
ATOH1	4	0.06308	1.1614	0.52561	0.88815	0.24546	0.52031
ATOX1	4	-1.3954	-2.0773	0.0013425	0.039474	0.037775	0.42649
ATP1A1	4	-1.6103	-2.5079	0.00029833	0.012146	0.012147	0.25077
ATP1A2	4	-0.14229	-1.345	0.70033	0.94956	0.17861	0.49252
ATP1A3	4	0.0029288	0.02269	0.78515	0.9694	0.9819	0.98997
ATP12A	4	0.017384	0.28694	0.7234	0.95554	0.77416	0.86596
ATP1A4	4	0.15403	1.4419	0.21186	0.67527	0.14933	0.49029
ATP1B1	4	0.053326	0.5348	0.56533	0.8992	0.59278	0.74581
ATP1B2	4	0.079763	0.37525	0.45938	0.85729	0.70747	0.82209
ATP1B3	4	-1.3442	-2.5511	0.0016408	0.042092	0.010737	0.23679
FXYD2	4	0.20871	1.5089	0.098548	0.49649	0.13133	0.49029
ATP2A1	4	0.094484	0.7241	0.4011	0.82266	0.46901	0.69768
ATP2A2	4	-1.4305	-2.8184	0.0010442	0.032407	0.0048264	0.16018
ATP2A3	4	-0.0055968	-0.0489	0.8217	0.97972	0.961	0.97733
ATP2B1	4	0.12123	1.4285	0.30872	0.76654	0.15314	0.49029
ATP2B2	4	0.098239	0.58275	0.38833	0.81575	0.56006	0.73324
ATP2B3	4	-0.12546	-1.362	0.7503	0.96086	0.1732	0.49233
ATP2B4	4	-0.019998	-0.30452	0.88161	0.98682	0.76073	0.85774
ATP4A	4	-0.075312	-0.99763	0.91358	0.99027	0.31846	0.5791
ATP4B	4	0.23172	1.3225	0.068566	0.42249	0.186	0.49394
ATP5A1	4	-2.4279	-4.4337	0	0	9.2641e-06	0.0045444
ALDH7A1	4	0.066579	0.98796	0.51168	0.88069	0.32317	0.58314
ATP5B	4	-1.4064	-2.4056	0.001243	0.037425	0.016146	0.28979
ATP5C1	4	-1.3871	-2.7368	0.0014419	0.040334	0.0062034	0.18055
ATP5D	4	-2.0021	-3.2904	9.9443e-05	0.0081633	0.0010006	0.068878
ATP5E	4	-1.1523	-2.709	0.0045744	0.084018	0.0067492	0.18958
ATP5F1	4	-0.69913	-1.5656	0.047882	0.34911	0.11745	0.49029
ATP5G1	4	-0.79077	-1.7317	0.02864	0.26016	0.08332	0.49029
ATP5G2	4	-0.44017	-1.5666	0.18511	0.64499	0.11721	0.49029
ATP5G3	4	-0.0093043	-0.1147	0.83741	0.98113	0.90868	0.94922
